233	2	2	20	2	16	29	1	1	1	1	4	11	102	93	9	1	7.44	24	66.5	2150	-999
234	2	2	20	2	16	26	1	1	1	1	4	11	78	72	9	1.01	9.04	22.6	66	2190	-999
235	1	2	20	2	16	25	1	1	1	1	4	11	70	65	9	1.16	8.15	23	66	2070	-999
236	2	2	20	2	16	28	1	1	1	1	4	11	94	86	9	1.46	8.76	24.4	65	-999	2270
237	2	2	20	2	16	28	1	1	1	1	4	11	94	86	9	1.03	9.27	23.6	70	-999	2590
239	2	2	20	2	16	26	1	1	1	1	4	11	78	72	9	1.44	6.58	22.2	72	2290	-999
240	1	2	20	2	16	25	1	1	1	1	4	11	70	65	9	1.18	6.97	22	68.5	2490	-999
241	2	2	20	3	14	28	3	2	1	1	4	11	94	86	9	1.12	7.09	21.6	58	-999	2050
242	1	2	20	3	14	30	3	2	1	1	4	11	110	100	9	1.39	7.02	23.4	69	2280	-999
243	2	2	20	3	14	28	3	2	1	1	4	11	94	86	9	1.49	7	21.6	62.5	-999	2340
244	1	2	20	3	14	25	3	2	1	1	4	11	70	65	9	1.55	8.67	25	68	1970	-999
245	2	2	20	3	18	32	2	2	1	1	4	11	126	114	9	1.28	5.56	20.6	65.5	-999	2370
246	2	2	20	3	18	26	2	2	1	1	4	11	78	72	9	1.28	8.89	28	69	2410	-999
247	1	2	20	3	18	30	2	2	1	1	4	11	110	100	9	1.35	5.87	26.8	82	2620	-999
248	2	2	20	3	18	28	2	2	1	1	4	11	94	86	9	1.28	6.83	22.8	70	-999	2320
249	2	2	20	3	14	26	3	2	1	1	4	11	78	72	9	1.22	7.86	24	71	2480	-999
250	1	2	20	3	14	27	3	2	1	1	4	11	86	79	9	1.25	7.03	23.4	66	-999	2430
252	1	2	20	3	14	25	3	2	1	1	4	11	70	65	9	1.5	8.19	25.2	71	2180	-999
253	2	2	20	3	18	26	2	2	1	1	4	11	78	72	9	1.27	6.94	29.4	78	2840	-999
254	1	2	20	3	18	30	2	2	1	1	4	11	110	100	9	1.32	9.16	29.8	93.5	2810	-999
255	2	2	20	3	18	28	2	2	1	1	4	11	94	86	9	1.2	8.3	31	67	-999	2600
256	1	2	20	3	18	27	2	2	1	1	4	11	86	79	9	1.1	7	25.6	45	-999	2050
257	2	2	20	1	18	32	7	3	1	1	4	11	126	114	9	0.9	6.23	18.2	62	-999	2230
258	2	2	20	1	18	32	7	3	1	1	4	11	126	114	9	1.06	6.89	20	63.5	-999	2340
259	1	2	20	1	18	31	7	3	1	1	4	11	118	107	9	1.11	5.49	18	56	-999	2020
260	2	2	20	1	18	29	7	3	1	1	4	11	102	93	9	1.33	8.8	24.8	77	2670	-999
261	2	2	20	1	18	29	7	3	1	1	4	11	102	93	9	1.38	7.03	21.2	68	2350	-999
262	1	2	20	1	18	31	7	3	1	1	4	11	118	107	9	1.17	5.59	17.6	61.5	-999	2340
263	2	2	20	2	12	26	4	3	1	1	4	11	78	72	9	1.3	7.74	27	75.5	2320	-999
264	2	2	20	2	12	26	4	3	1	1	4	11	78	72	9	1.46	7.73	24.6	70	2350	-999
265	1	2	20	2	12	31	4	3	1	1	4	11	118	107	9	1.48	5.74	20.4	66	-999	2240
