1643	2	2	20	1	15	32	8	4	1	1	4	11	126	114	9	0.79	5.54	19.8	63	-999	2310
1644	1	2	20	1	15	30	8	4	1	1	4	11	110	100	9	1.51	7.12	23	73	2070	-999
1645	1	2	20	1	15	30	8	4	1	1	4	11	110	100	9	1.15	5.62	22.4	72.5	2190	-999
1646	1	2	20	1	15	30	8	4	1	1	4	11	110	100	9	1.25	6.67	22.2	64	1960	-999
1647	2	2	20	1	15	29	8	4	1	1	4	11	102	93	9	1.49	6.3	26.2	76.5	2260	-999
1648	1	2	20	1	15	31	8	4	1	1	4	11	118	107	9	1.49	6.57	19.8	63	-999	2060
1649	2	2	20	1	15	32	8	4	1	1	4	11	126	114	9	1.41	7.04	19	61	-999	2130
1650	2	2	20	1	15	32	8	4	1	1	4	11	126	114	9	1.14	6.99	21.6	67.5	-999	2370
1651	2	2	20	1	15	32	8	4	1	1	4	11	126	114	9	1.15	5.95	21.8	66.5	-999	2490
1656	2	2	21	4	18	37	11	5	2	2	5	19	163	145	16	1.2	7.32	20.2	59.5	-999	2090
1657	2	2	21	4	18	34	11	5	2	2	5	19	141	127	16	1.51	7.85	25.2	78.5	-999	2590
1658	2	2	21	4	18	37	11	5	2	2	5	19	163	145	16	1.39	7.19	23	69	-999	2560
1659	2	2	21	4	18	37	11	5	2	2	5	19	163	145	16	1.32	7.81	24	71.5	-999	2480
1660	1	2	21	4	18	33	11	5	2	2	5	19	134	121	16	1.61	7.95	25.8	76	-999	2520
1661	2	2	21	4	18	36	11	5	2	2	5	19	156	139	16	1.59	7.91	24.6	72	2500	-999
1662	1	2	21	4	18	40	11	5	2	2	5	19	184	163	16	1.37	8.02	23	66	2490	-999
1663	2	2	21	4	18	36	11	5	2	2	5	19	156	139	16	1.25	7.64	24.8	67	2240	-999
1664	2	2	21	4	18	36	11	5	2	2	5	19	156	139	16	1.52	7.59	26	76.5	2600	-999
1666	1	2	21	4	11	38	13	6	2	2	5	19	170	151	16	1.84	10.54	24.6	73	-999	2470
1667	1	2	21	4	11	35	13	6	2	2	5	19	148	133	16	2.11	9.39	26.4	86.5	2720	-999
1668	1	2	21	4	11	33	13	6	2	2	5	19	134	121	16	1.85	10.52	24.6	67	-999	2170
1671	1	2	21	4	11	35	13	6	2	2	5	19	148	133	16	1.32	9.08	24.2	66	2040	-999
1672	1	2	21	4	11	33	13	6	2	2	5	19	134	121	16	2.2	10.45	25.8	78.5	-999	2400
1676	1	2	21	4	16	35	12	6	2	2	5	19	148	133	16	1.59	8.78	22.2	70	2290	-999
1677	2	2	21	4	16	36	12	6	2	2	5	19	156	139	16	1.43	8.32	22.4	75.5	2480	-999
1678	1	2	21	4	16	35	12	6	2	2	5	19	148	133	16	1.69	8.69	24	75	2530	-999
1679	1	2	21	4	16	35	12	6	2	2	5	19	148	133	16	1.87	8.67	24.8	79.5	2630	-999
1680	2	2	21	4	16	36	12	6	2	2	5	19	156	139	16	1.66	8.55	23.8	67	2560	-999
1681	2	2	21	2	20	34	15	7	2	2	5	19	141	127	16	2.16	9.5	31.8	81.5	-999	2420
1682	2	2	21	2	20	34	15	7	2	2	5	19	141	127	16	1.41	6.86	21.4	71	-999	2140
1683	1	2	21	2	19	40	14	7	2	2	5	19	184	163	16	1.34	7.59	20.6	68	2920	-999
1684	1	2	21	2	19	33	14	7	2	2	5	19	134	121	16	1.12	7.62	22	67	-999	2580
1685	2	2	21	2	19	39	14	7	2	2	5	19	178	157	16	1.39	6.07	21.4	69.5	2390	-999
1686	2	2	21	2	19	34	14	7	2	2	5	19	141	127	16	1.15	6.61	23	72.5	-999	2610
1687	1	2	21	2	19	33	14	7	2	2	5	19	134	121	16	1.6	7.29	23.8	71.5	-999	2540
1691	1	2	21	2	20	33	15	7	2	2	5	19	134	121	16	2.03	9.62	24.6	75.5	-999	2170
1692	1	2	21	2	20	35	15	7	2	2	5	19	148	133	16	1.7	8.76	21	57	2070	-999
1693	2	2	21	2	20	39	15	7	2	2	5	19	178	157	16	1.01	6.39	20.2	62	2120	-999
1695	1	2	21	2	20	33	15	7	2	2	5	19	134	121	16	2.1	9.76	24.8	69	-999	2310
1696	2	2	21	2	20	36	15	7	2	2	5	19	156	139	16	2.11	7.87	22.6	67	2030	-999
1697	2	2	21	1	9	37	16	8	2	2	5	19	163	145	16	1.68	7.03	26.4	77.5	-999	2880
1699	1	2	21	1	9	38	16	8	2	2	5	19	170	151	16	1.86	7.4	21.6	69	-999	2490
1700	2	2	21	1	9	39	16	8	2	2	5	19	178	157	16	1.42	6.65	21.2	71.5	2610	-999
1702	1	2	21	1	9	40	16	8	2	2	5	19	184	163	16	1.68	6.07	18.4	57	1910	-999
1704	2	2	21	1	9	39	16	8	2	2	5	19	178	157	16	1.46	6.21	19.2	64	2110	-999
1706	2	2	21	1	15	37	18	8	2	2	5	19	163	145	16	1.43	7.52	20.2	69	-999	2110
1707	1	2	21	1	15	40	18	8	2	2	5	19	184	163	16	1.41	6.32	20.6	57.5	1940	-999
1708	2	2	21	1	15	37	18	8	2	2	5	19	163	145	16	1.14	6.93	21	62.5	-999	2320
1709	2	2	21	1	15	39	18	8	2	2	5	19	178	157	16	1.32	7.2	19.2	58	2170	-999
1710	1	2	21	1	15	38	18	8	2	2	5	19	170	151	16	1.4	7.82	21.4	64.5	-999	2370
1712	2	2	21	1	15	39	18	8	2	2	5	19	178	157	16	1.33	7.36	18.6	60	2140	-999
1713	1	2	21	1	15	38	18	8	2	2	5	19	170	151	16	1.1	6.05	21.6	68	-999	2350
1716	1	2	21	4	22	40	17	8	2	2	5	19	184	163	16	1.27	7.04	18.6	54	1780	-999
1717	1	2	21	4	22	33	17	8	2	2	5	19	134	121	16	1.48	8.67	24	74	-999	2440
1718	2	2	21	4	22	34	17	8	2	2	5	19	141	127	16	1.62	9.94	26	72.5	-999	2410
1719	2	2	21	4	22	36	17	8	2	2	5	19	156	139	16	1.34	8.9	22.4	68.5	2310	-999
1720	2	2	21	4	22	34	17	8	2	2	5	19	141	127	16	1.39	8.71	24	74.5	-999	2460
1721	1	2	21	1	16	38	10	9	2	2	5	19	170	151	16	1.86	7.45	24.8	75	-999	2390
1722	1	2	21	1	16	33	10	9	2	2	5	19	134	121	16	1.82	7.37	24.4	70.5	-999	2290
1723	2	2	21	1	16	34	10	9	2	2	5	19	141	127	16	1.62	7.32	23.2	74	-999	2390
1724	1	2	21	1	16	35	10	9	2	2	5	19	148	133	16	1.26	6.97	22.2	68.5	2180	-999
1725	1	2	21	1	16	40	10	9	2	2	5	19	184	163	16	1.47	6.52	18.2	59	1950	-999
1726	2	2	21	1	16	34	10	9	2	2	5	19	141	127	16	1.69	7.01	23.6	70.5	-999	2370
1727	2	2	21	1	16	39	10	9	2	2	5	19	178	157	16	1.53	6.6	18.6	63.5	2010	-999
1728	1	2	21	1	16	35	10	9	2	2	5	19	148	133	16	1.57	8.1	25.4	74	2210	-999
1730	1	2	21	1	14	38	19	9	2	2	5	19	170	151	16	1.61	7.84	23.2	72	-999	2810
1731	2	2	21	1	14	39	19	9	2	2	5	19	178	157	16	1.23	5.96	18.4	58.5	2380	-999
1732	1	2	21	1	14	40	19	9	2	2	5	19	184	163	16	1.5	7.69	20.8	58.5	2100	-999
1734	1	2	21	1	14	40	19	9	2	2	5	19	184	163	16	1.57	6.36	20.6	65	2540	-999
1735	2	2	21	1	14	37	19	9	2	2	5	19	163	145	16	1.6	5.92	20	77.5	-999	2760
1736	2	2	21	1	14	37	19	9	2	2	5	19	163	145	16	1.28	6.92	22.8	70	-999	2520
1757	2	2	25	1	9	18	20	10	3	3	3	4	26	23	3	1.23	8.78	27	66	2100	-999
1760	2	2	25	4	17	22	21	11	3	3	3	4	52	47	3	1.5	9.26	24.2	79.5	2490	-999
1761	1	2	25	4	17	21	21	11	3	3	3	4	46	41	3	1.58	9.15	26.6	72	2340	-999
1762	2	2	25	4	17	22	21	11	3	3	3	4	52	47	3	1.57	8.45	26.8	81.5	2340	-999
1763	2	2	25	4	17	24	21	11	3	3	3	4	64	59	3	1.46	8.57	20.8	73	-999	2540
1764	2	2	25	4	17	22	21	11	3	3	3	4	52	47	3	1.52	8.69	25.2	78.5	2340	-999
1765	1	2	25	4	17	23	21	11	3	3	3	4	58	53	3	1.37	6.13	20.6	62.5	-999	2350
1766	2	2	25	4	17	22	21	11	3	3	3	4	52	47	3	1.34	8.27	23.2	74	2450	-999
1767	1	2	25	4	17	23	21	11	3	3	3	4	58	53	3	1.5	8.37	18.2	68	-999	2240
